locus	best_counts	all_counts	pri_counts	uni_counts	repenrich_counts	telescope	tetr_counts	real
HML2_19q13.41b	300	302	300	258	423	300	271	300
HML2_21q21.1	256	474	255	66	278	265	158	270
HML2_4p16.3a	240	240	240	221	452	240	238	240
HML2_11q22.1	92	617	88	0	63	248	182	210
HML2_17p13.1	180	180	180	180	322	180	177	180
HML2_1p34.3	150	166	150	45	192	150	110	150
HML2_1q22	59	584	58	0	6	89	13	120
HML2_4q32.3	90	155	89	39	136	88	77	90
HML2_12p11.1	60	63	60	53	98	60	54	60
HML2_14q32.33	30	30	30	18	48	30	28	30
Others	193	20080	200	0	132	0	236	0
HML2_4p16.3b	297	651	301	35	308	306	368	300
HML2_7q22.2	227	332	223	0	80	282	248	270
HML2_4p16.1a	240	531	240	34	280	245	125	240
HML2_8p23.1d	113	510	108	0	33	206	72	210
HML2_4p16.1b	181	605	177	30	193	175	134	180
HML2_3q12.3	135	264	136	23	140	153	115	150
HML2_Xq12	120	136	120	72	222	119	110	120
HML2_22q11.21	44	470	43	0	38	98	5	90
HML2_7p22.1	50	912	50	0	8	37	0	60
HML2_14q11.2	30	57	30	21	54	29	26	30
Others	213	14891	222	0	323	0	406	0
HML2_10q24.2	255	440	259	3	100	306	100	300
HML2_8q24.3a	133	349	141	0	18	264	137	270
HML2_8q24.3b	240	316	240	102	360	240	214	240
HML2_12p11.1	210	222	210	193	360	210	194	210
HML2_9q34.11	180	230	180	106	336	180	171	180
HML2_4p16.1b	148	218	145	25	151	151	152	150
HML2_5p13.3	106	592	105	1	42	118	26	120
HML2_4q35.2	88	138	87	46	110	90	75	90
HML2_1p36.21b	35	80	28	0	10	60	36	60
HML2_11p15.4a	29	136	30	8	42	29	29	30
Others	226	24967	225	0	308	2	427	0
HML2_19q11	217	840	212	7	68	436	35	300
HML2_8p23.1b	130	515	133	1	30	265	295	270
HML2_1p36.21b	156	441	160	0	82	285	248	240
HML2_1p36.21d	203	434	193	13	127	165	78	210
HML2_16p11.2a	75	310	71	0	7	164	1	180
HML2_3p12.3	150	152	150	90	291	150	148	150
HML2_6q14.1	79	957	78	1	20	7	0	120
HML2_1q21.3	90	118	90	28	139	88	68	90
HML2_17p13.1	60	60	60	60	106	60	58	60
HML2_11q12.3b	30	70	31	16	45	29	18	30
Others	460	30456	472	0	422	1	651	0
HML2_1q24.1	300	324	300	230	541	300	283	300
HML2_Yp11.2	268	287	267	180	453	271	257	270
HML2_7p22.1	154	791	148	1	8	347	52	240
HML2_11q12.1	210	214	210	193	392	210	207	210
HML2_14q11.2	178	205	176	106	280	177	168	180
HML2_15q25.2	148	150	147	32	217	150	32	150
HML2_1p36.21b	65	138	76	0	20	120	66	120
HML2_8p23.1b	44	218	44	1	14	18	51	90
HML2_16p11.2b	31	115	22	0	12	24	5	60
HML2_11p15.4b	30	36	30	16	42	30	27	30
Others	222	15095	228	0	235	1	434	0
HML2_6q11.1	297	340	297	222	506	297	285	300
HML2_16p11.2b	148	349	121	0	36	250	64	270
HML2_22q11.21	138	719	142	0	62	367	92	240
HML2_8p23.1d	124	360	121	1	28	302	16	210
HML2_4p16.1b	176	320	176	22	204	180	180	180
HML2_8p23.1b	84	349	82	0	26	73	140	150
HML2_Xq28b	106	136	102	54	172	119	95	120
HML2_8p23.1f	93	319	87	1	36	1	223	90
HML2_12q24.33	59	130	60	27	81	57	49	60
HML2_1q22	32	687	31	0	11	0	2	30
Others	393	27395	428	1	343	1	449	0
HML2_1q43	300	300	300	228	512	300	277	300
HML2_6q11.1	270	303	270	199	488	270	267	270
HML2_19q13.42	229	258	231	159	382	233	217	240
HML2_1p31.1	135	407	133	3	34	238	127	210
HML2_1q21.3	176	208	178	56	279	180	154	180
HML2_7q11.21	150	150	150	141	272	150	146	150
HML2_1q22	48	506	46	0	10	128	23	120
HML2_5p12	90	120	90	68	153	90	79	90
HML2_19q11	45	398	40	0	12	27	0	60
HML2_11q12.1	30	30	30	28	60	30	28	30
Others	177	17782	182	3	142	4	268	0
HML2_12p11.1	299	301	299	271	524	299	282	300
HML2_Xq11.1	270	270	270	270	476	270	269	270
HML2_1p36.21a	213	316	207	25	174	248	167	240
HML2_8q11.1b	210	211	210	179	376	210	197	210
HML2_8p23.1c	113	183	128	0	60	180	11	180
HML2_1p36.21d	137	355	140	9	90	142	113	150
HML2_3p25.3	120	157	116	37	160	120	88	120
HML2_4q32.1	46	101	44	0	24	90	55	90
HML2_19q13.12a	60	90	60	14	78	60	50	60
HML2_10q24.2	29	98	29	1	18	30	8	30
Others	153	10080	146	0	172	0	345	0
HML2_10p14	295	604	293	67	370	307	229	300
HML2_9q34.3	267	300	267	209	418	270	242	270
HML2_8p23.1a	107	527	110	0	8	289	262	240
HML2_8q11.1b	210	219	210	179	390	210	205	210
HML2_5p13.3	165	698	158	2	65	182	141	180
HML2_5q33.2	150	177	150	91	256	150	142	150
HML2_1q21.3	118	206	118	34	172	118	92	120
HML2_5q33.3	48	725	57	0	10	54	0	90
HML2_4q13.2	60	77	60	46	122	60	59	60
HML2_19q11	24	609	28	1	14	10	0	30
Others	206	23391	199	0	232	0	200	0
HML2_14q11.2	295	333	295	173	474	296	261	300
HML2_4q13.2	270	284	270	208	516	270	264	270
HML2_6q11.1	241	323	240	178	422	240	248	240
HML2_8q24.3a	104	287	112	0	32	228	136	210
HML2_20q11.22	180	187	180	163	314	180	174	180
HML2_19q13.12a	150	213	150	50	204	150	117	150
HML2_1q43	120	121	120	87	204	120	105	120
HML2_1p36.21d	82	106	80	9	57	90	85	90
HML2_16p11.2a	29	192	24	0	2	50	2	60
HML2_12q14.1	22	430	24	1	6	22	50	30
Others	157	18885	151	0	121	0	115	0
HML2_4q35.2	289	347	290	160	443	300	279	300
HML2_16p11.2b	123	324	124	0	41	246	54	270
HML2_7p22.1	134	1026	143	0	16	265	17	240
HML2_8q24.3b	209	258	209	95	328	210	199	210
HML2_6q25.1	180	181	180	167	334	180	177	180
HML2_1q32.2	144	230	143	46	194	148	104	150
HML2_22q11.23	119	139	119	73	194	124	65	120
HML2_20q11.22	90	97	90	83	166	90	84	90
HML2_19q13.41b	60	60	60	52	87	56	51	60
HML2_11q12.1	30	31	30	26	54	30	26	30
Others	272	21417	262	1	228	1	469	0
HML2_Xq12	300	301	300	178	562	300	300	300
HML2_11q22.1	136	776	149	1	71	412	137	270
HML2_7q22.2	180	425	185	0	52	227	156	240
HML2_12p11.1	209	213	209	199	368	209	201	210
HML2_6p22.1	180	223	180	140	337	180	172	180
HML2_7q34	148	174	148	118	275	148	124	150
HML2_4q32.1	66	250	69	2	21	51	82	120
HML2_19q13.41b	90	91	90	69	126	90	76	90
HML2_3q13.2	41	746	40	0	16	2	4	60
HML2_11q12.3b	30	76	30	19	53	30	26	30
Others	270	21988	249	0	191	0	327	0
HML2_4p16.1a	296	483	299	57	384	298	216	300
HML2_19q11	177	633	185	2	38	328	12	270
HML2_12q14.1	168	810	163	2	46	226	146	240
HML2_8p23.1d	131	484	154	1	32	301	83	210
HML2_4q32.1	109	293	109	2	35	137	144	180
HML2_1q43	150	150	150	106	257	150	137	150
HML2_19q13.12b	120	184	120	80	210	120	96	120
